env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums,controlGraph,robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,7.4,-10.4,4.4243,0,0,3,,,17.2,8.2,7.2,10,0,9.3,10,10,10,10,7.5,7.2,8.2,9.48974,10,10,10,10,8.47037,7.42,9.15714
open_space,5.1,-19.1,2.21605,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11,5,4,0.6,0.441667,5,1,0.6,0.6,0.7,4,10,8.3,5.98222,2.9,0.717778,0.628889,1.38667,5.6,10,9
open_space,0.5,-7.3,1.79072,1,1,3,0|1|0；0|0|1；0|0|0,0|0；-0.5|0；-1|0,8.8,0.3,8.5,0.3,0.472222,0.3,0.3,0.3,0.5,10,10,8.5,1.3,0.575556,0.3,0.366667,1.37419,10,10,9.14167,6.39333
open_space,18.9,-13.1,5.65563,0,0,3,,,6.2,0.8,5.4,0.8,0.416667,0.8,0.8,1.3,10,10,8.2,5.4,1,0.842222,0.964444,2.92187,10,10,9.04615,6.96,1.86889
open_space,7,-18.1,5.99262,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11.6,1.8,1.6,10,0.322222,5.5,10,10,7.1,3.4,1.7,1.6,1.8,7.075,10,10,8.19667,6.16,2.20222,1.64444,2.78444
open_space,12.4,-2.9,4.10686,0,0,3,,,13.7,10,2.7,7.3,0.133333,10,9,7.3,3.3,2.7,2.7,4.7,10,10,9.425,7.70444,5.38222,2.84,3.34889,6.62,10
open_space,8.5,-1.1,4.6212,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,18.3,10,1.2,1.4,0.405556,10,10,1.4,0.9,0.9,1.2,8.3,10,10,10,2.97941,1.05556,0.96,2.48222,8.7675,10
open_space,12.2,-9.3,2.22792,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,19.2,9.1,7.5,10,0,10,10,10,10,7.6,7.5,9.2,9.1,10,10,10,10,8.43824,7.98444,9.56818,9.33636
open_space,6.9,-19.3,6.12349,0,0,3,,,10.4,0.5,0.4,10,0.461111,2.3,10,10,6.8,0.7,0.4,0.4,0.5,4.45,10,10,7.91538,3.04444,0.477778,0.413333,0.855556
open_space,16.2,-16.8,2.89027,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,13,5.8,4.1,2.9,0.0611111,5.8,3,2.9,3.4,3.5,4.1,10,10,7.54286,3.85556,3,3.91111,3.62222,5.9275,10,10
open_space,9.9,-14.1,6.24061,0,0,3,,,15.6,7.6,5.6,10,0,9.8,10,10,9.7,8.4,5.6,5.6,7.6,9.8625,10,10,9.83333,9.57692,6.44,6.14222,9.14167
open_space,15.4,-18.9,0.303712,0,0,3,,,10,1.7,0.8,9.2,0.416667,4.5,9.2,10,2.7,0.9,0.8,0.8,1.7,5.92667,9.53333,10,4.90769,1.38,0.817778,1.08667,3.61778
