env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums, controlGraph, robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,0.9,-1.3,0.427899,0,0,3,,,11.1,1.2,1.9,0.7,0.655556,1.2,1.1,0.7,0.7,0.8,1.9,10,2.7,1.62,1.12444,0.986667,0.704444,1.08889,3.70588,10,4.71111
open_space,13.2,-9.7,1.65992,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,16.5,9.5,6.5,10,0,9.5,10,10,10,8.6,6.5,6.5,9.5,9.72143,10,10,10,9.28,7.04667,7.59778,9.64583
open_space,8.9,-5,4.61359,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,18.7,10,6.2,7.7,0,10,10,7.7,4.8,4.8,6.2,8.7,10,10,10,8.65,5.70222,5.15556,8.42,9.04722,10
open_space,14.4,-14.2,4.38573,0,0,3,,,15.6,5.5,10,5.3,0,5.5,5.6,5.3,5.9,10,10,10,5.8,5.65111,6.53333,5.44667,7.41818,10,10,10,7.29737
open_space,9.2,-14.6,4.64519,0,0,3,,,14.7,5.1,7.9,6.8,0,5.1,6.8,10,10,10,9,7.9,5.1,5.54222,8.08421,10,10,10,9.4,9.15854,5.94667
open_space,9.6,-14.5,6.14868,0,0,3,,,15.2,6.5,5.2,10,0,10,10,10,9.5,8.8,5.3,5.2,6.5,10,10,10,9.73846,9.52286,6.32889,5.52,7.87727
open_space,7,-13.6,3.30681,0,0,3,,,14.6,6.8,8.5,6.1,0,6.9,6.1,6.2,10,10,10,8.5,6.8,7.83333,6.45778,7.43636,10,10,10,9.19167,7.2
open_space,19.4,-18.2,1.66367,0,0,3,,,10.3,0.4,0.3,2,0.652778,10,10,2,1.5,0.4,0.3,0.3,0.4,10,10,3.67805,1.61778,0.744444,0.315556,0.335556,1.35128
open_space,14.8,-1.7,4.93499,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,14.9,5.8,2.8,1.8,0.333333,5.8,4.9,1.8,1.5,1.5,2.8,10,10,7.37143,5.12222,2.96889,1.56,1.91111,4.7,10,10
open_space,9.5,-17.5,0.817896,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,13.2,10,2.2,9.3,0.236111,10,10,9.3,3,2.2,2.2,3.2,10,10,10,9.52917,6.08889,2.43111,2.48889,5.16129,10
open_space,17.6,-1.2,5.04753,0,0,3,,,12.1,2.3,2.2,1.1,0.572222,2.3,2.1,1.1,1,1.1,2.2,10,6.6,3.51556,2.15556,1.60444,1.02,1.41111,4.24286,10,8
open_space,8,-8.9,4.863,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,17.9,10,7.8,10,0,10,10,10,8.7,8.8,7.8,7.9,10,10,10,10,9.03421,9.325,8.29333,8.66129,10
open_space,5.1,-3.2,5.73768,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,12.9,10,5,3,0,10,3.5,3,3.1,4.9,5,9.4,10,10,5.41951,3.12,3.89111,5.10444,6.38222,9.7,10
open_space,4.1,-6.8,2.99687,0,0,3,,,11.5,3.9,6.6,4.9,0,3.9,4.9,10,10,10,6.7,6.6,4,4.12667,6.62903,10,10,10,7.7825,6.89111,4.77778
open_space,17.8,-4.6,1.11272,0,0,3,,,6.5,2,1.9,4.6,0.280556,4.2,4.6,9.9,10,6.1,2.1,1.9,2,4.49333,6.21333,9.9,10,7.7625,3.21333,1.95111,2.67111
open_space,19.6,-10.3,4.8848,0,0,3,,,10.1,0.1,10,0.1,0.494444,0.1,0.1,0.1,0.1,10,10,10,0.4,0.157778,0.1,0.1,0.377143,10,10,10,7.02333
open_space,1,-10.6,2.79353,1,1,3,0|1|1；0|0|0；0|0|0,0|0；1|0；2|0,2.8,0.8,1.9,0.9,0.416667,0.8,0.9,2.2,10,10,10,1.9,0.9,0.808889,1.26667,7.51111,10,10,10,3.695,1.16
open_space,19.1,-3,0.0112347,0,0,3,,,1.6,0.6,0.8,0.8,0.519444,0.6,0.8,2.8,4,10,10,0.8,0.6,0.664444,1.74889,3.14,5.95517,10,10,2.08571,0.662222
open_space,19.3,-10.3,3.69856,0,0,3,,,10.7,9.7,1.6,0.4,0.461111,9.7,0.7,0.4,0.4,0.5,1.6,10,10,9.82857,4.54889,0.504444,0.404444,0.74,3.625,10,10
open_space,17.9,-7.8,5.46623,0,0,3,,,11.8,1.8,10,1.8,0.294444,1.8,1.8,2.5,7.6,10,10,10,2.7,2.05111,1.97556,4.86889,8.28837,10,10,10,4.69091
open_space,6.6,-18.2,4.0539,0,0,3,,,7.9,1.5,6.4,1.5,0.333333,1.5,1.5,2.4,10,10,8.2,6.4,1.9,1.6,1.78444,4.40667,10,10,8.95833,6.85111,3.61111
open_space,18.1,-14.3,3.70071,0,0,3,,,13.1,5.6,7,1.6,0.319444,5.6,3.1,1.6,1.6,1.9,7,10,10,6.975,4.96889,2.08,1.65556,3.12889,8.34,10,10
open_space,4.3,-8.7,0.433921,0,0,3,,,18.5,9.1,10,4.4,0,9.1,8.5,4.4,4.1,4.5,10,10,10,9.51667,8.72889,6.04222,4.20667,6.27619,10,10,10
open_space,7.7,-19.3,4.89127,0,0,3,,,1.2,0.4,0.5,0.7,0.461111,0.4,0.7,10,10,9.2,2.2,0.5,0.4,0.477778,1.73333,10,10,9.6,7.31111,0.853333,0.413333
open_space,14.9,-18.8,3.71075,0,0,3,,,10.9,0.9,10,0.9,0.405556,0.9,0.9,1.1,4,5.7,10,10,1.7,1.14889,0.928889,1.77111,4.97111,7.31333,10,10,3.41111
open_space,2.1,-12.6,5.84486,0,0,3,,,14.4,7.5,2,5.8,0.280556,10,10,5.8,2.1,1.9,2,4.4,7.5,10,10,7.47778,3.12222,1.94667,2.72667,6.80889,8.53077
open_space,1.3,-5.7,0.737472,0,0,3,,,11.6,5.5,10,1.1,0.383333,5.5,1.6,1.1,1.1,1.5,10,10,8.3,6.34889,3.61556,1.26,1.19556,3.06905,10,10,9.11111
open_space,16,-18.2,1.81052,0,0,3,,,10.4,7.1,2.8,1.8,0.333333,10,6.6,1.8,1.5,1.5,2.8,3.8,7.1,10,7.96,2.95111,1.55333,1.94,3.66,4.80667,8.25
open_space,3.1,-8.2,0.21921,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,18,9.6,5.4,3.5,0.0611111,9.6,8,3.5,2.9,3,5.4,10,10,9.75,8.36889,5.59333,3.02667,3.7,7.04375,10,10
open_space,3.7,-14.9,5.29867,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,14.2,4.8,3.5,10,0,5.8,10,10,6.5,3.6,3.5,4.2,4.8,7.36552,10,10,7.90769,4.46222,3.65333,5.11556,5.02222
