Episode:  1196 | Steps: 216 | Reward:   250.11 | A_Loss: -15.3191 | C_Loss: 8.3238
Episode:  1197 | Steps:  62 | Reward:    94.29 | A_Loss: -15.3738 | C_Loss: 8.3095
Episode:  1198 | Steps: 234 | Reward:    50.46 | A_Loss: -15.4935 | C_Loss: 8.0390
Episode:  1199 | Steps: 187 | Reward:   -78.65 | A_Loss: -15.6556 | C_Loss: 8.4952
💾 [Checkpoint 已更新] 最新模型 -> /home/nankai/formation_test/data/MADDPG_Formation_1de061_2026-03-12_13-30-28/latest_checkpoint
Episode:  1200 | Steps: 363 | Reward:   158.93 | A_Loss: -15.8439 | C_Loss: 8.2638
Episode:  1201 | Steps: 225 | Reward:   286.85 | A_Loss: -15.9809 | C_Loss: 8.5273
Episode:  1202 | Steps: 300 | Reward:     8.90 | A_Loss: -16.1292 | C_Loss: 8.6698
Episode:  1203 | Steps: 204 | Reward:   212.02 | A_Loss: -16.3662 | C_Loss: 8.6666
Episode:  1204 | Steps:  27 | Reward:     3.72 | A_Loss: -16.2708 | C_Loss: 9.0410
Episode:  1205 | Steps: 193 | Reward:  -165.67 | A_Loss: -16.5038 | C_Loss: 8.4951
Episode:  1206 | Steps: 206 | Reward:   -82.61 | A_Loss: -16.6441 | C_Loss: 8.6729
Episode:  1207 | Steps: 398 | Reward:    -0.26 | A_Loss: -16.8758 | C_Loss: 8.7463
Episode:  1208 | Steps: 188 | Reward:  -153.50 | A_Loss: -17.0963 | C_Loss: 8.9409
Episode:  1209 | Steps: 203 | Reward:   163.68 | A_Loss: -17.2872 | C_Loss: 8.8288
Episode:  1210 | Steps: 149 | Reward:   155.63 | A_Loss: -17.3830 | C_Loss: 8.9648
Episode:  1211 | Steps: 126 | Reward:  -126.14 | A_Loss: -17.5083 | C_Loss: 8.9146
Episode:  1212 | Steps:  92 | Reward:   107.51 | A_Loss: -17.5279 | C_Loss: 9.3795
Episode:  1213 | Steps:  34 | Reward:    49.60 | A_Loss: -17.6911 | C_Loss: 8.3630
Episode:  1214 | Steps:  93 | Reward:    83.55 | A_Loss: -17.5558 | C_Loss: 9.4990
Episode:  1215 | Steps: 250 | Reward:    64.81 | A_Loss: -17.8477 | C_Loss: 9.0287
Episode:  1216 | Steps: 123 | Reward:   193.38 | A_Loss: -17.9760 | C_Loss: 9.0587
Episode:  1217 | Steps:  57 | Reward:    78.92 | A_Loss: -18.1650 | C_Loss: 9.1863
Episode:  1218 | Steps: 151 | Reward:    87.64 | A_Loss: -18.2078 | C_Loss: 9.0378
Episode:  1219 | Steps: 325 | Reward:  -151.99 | A_Loss: -18.4274 | C_Loss: 9.2885
Episode:  1220 | Steps: 126 | Reward:   137.08 | A_Loss: -18.6997 | C_Loss: 9.0340
Episode:  1221 | Steps:  86 | Reward:    65.14 | A_Loss: -18.7428 | C_Loss: 9.6800
Episode:  1222 | Steps: 110 | Reward:   116.46 | A_Loss: -18.8661 | C_Loss: 9.6196
Episode:  1223 | Steps: 247 | Reward:   -25.89 | A_Loss: -19.0813 | C_Loss: 9.7389
Episode:  1224 | Steps: 149 | Reward:   163.45 | A_Loss: -19.2666 | C_Loss: 9.6111
Episode:  1225 | Steps: 124 | Reward:   135.39 | A_Loss: -19.4069 | C_Loss: 9.7546
Episode:  1226 | Steps: 124 | Reward:    -4.99 | A_Loss: -19.5857 | C_Loss: 9.5186
Episode:  1227 | Steps: 113 | Reward:    20.19 | A_Loss: -19.7636 | C_Loss: 9.5072
Episode:  1228 | Steps: 287 | Reward:  -141.64 | A_Loss: -19.9842 | C_Loss: 9.8263
Episode:  1229 | Steps: 103 | Reward:    79.68 | A_Loss: -20.0901 | C_Loss: 10.0505
Episode:  1230 | Steps: 148 | Reward:  -198.83 | A_Loss: -20.3553 | C_Loss: 9.5970
Episode:  1231 | Steps: 209 | Reward:  -290.70 | A_Loss: -20.4808 | C_Loss: 10.0984
Episode:  1232 | Steps:  53 | Reward:    46.65 | A_Loss: -20.5252 | C_Loss: 10.2385
Episode:  1233 | Steps: 128 | Reward:  -279.98 | A_Loss: -20.6044 | C_Loss: 9.9022
Episode:  1234 | Steps:  92 | Reward:    13.26 | A_Loss: -20.7275 | C_Loss: 10.4543
Episode:  1235 | Steps: 308 | Reward:  -104.33 | A_Loss: -20.8260 | C_Loss: 9.8429
Episode:  1236 | Steps: 218 | Reward:  -299.32 | A_Loss: -20.9784 | C_Loss: 10.1499
Episode:  1237 | Steps: 175 | Reward:    37.83 | A_Loss: -21.1195 | C_Loss: 9.8889
Episode:  1238 | Steps: 333 | Reward:  -203.11 | A_Loss: -21.1674 | C_Loss: 10.1081
Episode:  1239 | Steps: 171 | Reward:    81.82 | A_Loss: -21.2514 | C_Loss: 10.1990
Episode:  1240 | Steps:  31 | Reward:    33.22 | A_Loss: -21.2263 | C_Loss: 10.2633
Episode:  1241 | Steps:  86 | Reward:    80.96 | A_Loss: -21.2169 | C_Loss: 10.1053
Episode:  1242 | Steps: 127 | Reward:   154.38 | A_Loss: -21.2554 | C_Loss: 10.3779
Episode:  1243 | Steps:  75 | Reward:   106.60 | A_Loss: -21.3202 | C_Loss: 10.1698
Episode:  1244 | Steps: 298 | Reward:    79.06 | A_Loss: -21.4306 | C_Loss: 9.7552
